products_industry_name,incidents_2022,incidents_2023,evolution
Baby Food Products,44,136,92
Fruit/Fruit Prod,187,236,49
Soft Drink/Water,147,190,43
Food Additives (Human Use),14,51,37
Bakery Prod/Dough/Mix/Icing,136,163,27
Macaroni/Noodle Prod,7,18,11
Dressing/Condiment,21,32,11
"Meat, Meat Products and Poultry",3,13,10
Whole Grain/Milled Grain Prod/Starch,28,37,9
"Spices, Flavors And Salts",21,30,9
Egg/Egg Prod,18,25,7
Ice Cream Prod,49,54,5
Alcoholic Beverage,8,13,5
Color Additiv Food/Drug/Cosmetic,4,8,4
Snack Food Item,72,76,4
Filled Milk/Imit Milk Prod,18,22,4
Choc/Cocoa Prod,67,70,3
Miscellaneous Food Related Items,2,3,1
Coffee/Tea,49,50,1
Food Sweeteners (Nutritive),24,25,1
Beverage Bases/Conc/Nectar,13,12,-1
Liquid Concentrate Formula,3,2,-1
Gelatin/Rennet/Pudding Mix/Pie Filling,3,2,-1
Fishery/Seafood Prod,105,103,-2
Cheese/Cheese Prod,30,28,-2
"Medical Foods, N.E.C.",9,7,-2
Vegetable Oils,14,10,-4
Milk/Butter/Dried Milk Prod,78,74,-4
Prep Salad Prod,62,57,-5
Candy W/O Choc/Special/Chew Gum,173,168,-5
Soup,29,21,-8
Ready to Serve Formula,18,7,-11
Vegetable Protein Prod,28,9,-19
Mult Food Dinner/Grav/Sauce/Special,173,153,-20
Dietary Conventional Foods/Meal Replacements,219,134,-85
Cosmetics,6379,6178,-201
Powder Formula,465,120,-345
Vegetables/Vegetable Products,548,145,-403
Cereal Prep/Breakfast Food,705,88,-617
Vit/Min/Prot/Unconv Diet(Human/Animal),5388,4613,-775
Nuts/Edible Seed,1807,97,-1710
